Deployed,Period 0,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12,Period 13,Period 14,Period 15,Period 16,Period 17,Period 18,Period 19,Period 20,Period 21,Period 22,Period 23
Depl00,5.1185,5.4969,5.6867,5.5461,5.5577,4.9509,4.4389,4.0006,3.3993,2.8649,2.3128,1.8698,1.8231,2.0626,2.3,2.4481,2.6643,2.5774,2.624,2.7091,2.5405,2.2824,1.9693,1.6665
Depl01,5.8731,6.1771,6.0569,6.1027,5.4215,4.7927,4.2746,3.5765,3.0027,2.4325,1.9313,1.8824,2.1332,2.3579,2.4943,2.684,2.5774,2.624,2.7091,2.5405,2.2824,1.9693,1.6665,1.6739
Depl02,6.6726,6.6709,6.7827,6.0397,5.262,4.6264,3.8277,3.1651,2.5637,2.039,1.9515,2.2011,2.4319,2.5576,2.745,2.593,2.624,2.7091,2.5405,2.2824,1.9693,1.6665,1.6739,1.932
Depl03,7.3097,7.6052,6.8323,5.9118,5.0926,4.1724,3.4153,2.7155,2.1841,2.0833,2.3027,2.5292,2.6432,2.8224,2.6506,2.6372,2.7091,2.5405,2.2824,1.9693,1.6665,1.6739,1.932,2.2025
Depl04,8.5003,7.8323,6.7179,5.7159,4.6091,3.7364,2.9595,2.336,2.2294,2.4601,2.6628,2.75,2.9293,2.7353,2.6737,2.7149,2.5405,2.2824,1.9693,1.6665,1.6739,1.932,2.2025,2.3914
Depl05,8.9887,7.8174,6.5688,5.2287,4.183,3.2916,2.5682,2.4229,2.622,2.8345,2.9268,3.072,2.8799,2.7883,2.7646,2.545,2.2824,1.9693,1.6665,1.6739,1.932,2.2025,2.3914,2.6605
Depl06,9.0225,7.6247,6.0132,4.7562,3.6973,2.8839,2.6916,2.905,3.0648,3.1336,3.2743,3.0503,2.9236,2.8696,2.5908,2.2902,1.9693,1.6665,1.6739,1.932,2.2025,2.3914,2.6605,2.5774
Depl07,8.7085,6.9422,5.4862,4.237,3.2837,3.0368,3.2405,3.3791,3.3945,3.5316,3.262,3.1018,2.9897,2.6808,2.3607,1.9866,1.6665,1.6739,1.932,2.2025,2.3914,2.6605,2.5774,2.624
Depl08,7.8144,6.2584,4.8532,3.7545,3.4613,3.6417,3.7837,3.7473,3.8461,3.5256,3.3095,3.1414,2.8047,2.4276,2.0347,1.6657,1.6731,1.932,2.2025,2.3914,2.6605,2.5774,2.624,2.7091
Depl09,6.9514,5.4764,4.2554,3.9261,4.1043,4.2183,4.1473,4.2297,3.8405,3.5408,3.3398,2.9322,2.5136,2.0935,1.7197,1.6892,1.9436,2.2025,2.3914,2.6605,2.5774,2.624,2.7091,2.5405
Depl10,5.9741,4.7403,4.3807,4.6002,4.7124,4.6061,4.6513,4.1967,3.8348,3.5302,3.0815,2.6233,2.1638,1.7624,1.7413,1.9897,2.221,2.3914,2.6605,2.5774,2.624,2.7091,2.5405,2.2824
Depl11,5.0978,4.8133,5.083,5.2238,5.0688,5.0885,4.574,4.1227,3.7715,3.2289,2.7451,2.2488,1.8106,1.7762,2.0263,2.2569,2.4038,2.6605,2.5774,2.624,2.7091,2.5405,2.2824,1.9693
